MovieID,UserID,Rating
241,1488844,3
51,822109,5
248,885013,4
15,30878,4
184,823519,3
29,893988,3
31,124105,4
202,1248029,3
169,1842128,4
228,2238063,3
57,1503895,4
13,2207774,5
88,2590061,3
128,2442,3
44,543865,4
227,1209119,4
246,804919,4
210,1086807,3
182,1711859,4
49,372233,5
200,1080361,3
102,1245640,3
215,558634,4
197,2165002,4
159,1181550,3
35,1227322,4
163,427928,4
6,814701,5
66,808731,4
161,662870,5
96,337541,5
162,786312,3
185,1133214,4
153,1537427,4
172,1209954,5
199,2381599,3
15,525356,2
189,1910569,4
18,2263586,4
6,2421815,2
52,1009622,1
46,1481961,2
56,401047,4
56,2179073,3
67,1434636,3
136,93986,5
119,1308744,5
188,2647871,4
228,1905581,5
97,2508819,3
52,1578279,1
17,1159695,4
91,2588432,3
208,2423091,3
150,470232,4
193,2148699,2
129,1342007,3
134,466135,4
170,2472440,3
95,1283744,3
30,1927580,4
176,716874,5
64,4326,4
97,1546549,5
226,1493697,1
21,880166,5
203,535396,2
49,494609,4
118,1961619,5
231,883478,4
142,793564,4
68,1567202,2
214,573537,4
35,1972040,4
88,1838912,3
45,411705,4
208,2244518,5
23,584542,5
2,667730,5
67,2488120,5
180,1926776,1
127,38052,3
101,1196100,4
243,314933,3
148,1792741,2
225,769643,1
93,2477242,5
212,1421006,3
53,729846,4
96,1719610,2
55,1696031,4
234,1817215,4
185,406057,4
227,636262,1
178,1245406,4
66,1834590,3
217,593225,3
70,1011918,4
110,1665054,4
87,2630337,5
37,1155747,3
184,2439493,1
143,479924,5
118,530789,5
18,765860,4
47,231001,3
186,1493615,5
22,1850615,2
70,68959,3
156,147386,5
154,624035,5
185,782308,5
179,1116080,5
35,421374,5
9,1158759,4
150,1025798,3
178,1215397,5
48,2475251,4
173,321111,2
187,2162676,3
55,2635437,4
134,2389367,1
34,485622,5
158,235553,4
146,831869,4
67,99400,5
147,684876,4
176,1871179,3
135,1107678,5
216,642036,3
32,700890,5
200,2289956,5
85,2040859,1
140,1524964,3
227,121318,4
122,317050,5
64,2287003,5
25,59052,2
238,893742,4
195,1346257,3
69,55016,3
118,30245,5
182,743633,4
15,1596531,5
30,1125499,5
54,706832,4
76,2465337,3
6,2291422,1
228,1777406,3
230,1904905,4
146,2450433,3
100,1348967,2
197,638020,3
199,2217779,4
138,194280,1
10,493009,4
1,1567167,4
66,850327,5
113,520386,3
156,320540,2
73,1188228,2
241,57961,4
245,1113230,3
171,1374216,2
37,595778,3
18,209573,4
207,2354601,5
45,2563596,4
70,835265,4
70,1819474,3
196,1447104,3
95,1100940,1
84,143274,3
77,2329565,4
76,181592,4
109,936396,2
239,1125797,3
124,2283366,3
68,514495,4
81,1772176,3
111,1877347,4
198,1287892,4
153,255443,2
200,890669,4
198,1989766,4
121,2315073,4
224,14756,4
242,907623,3
164,991423,4
117,1604238,4
50,1027056,3
137,2025883,5
183,732936,5
62,563962,5
115,799442,4
208,352635,5
228,2537543,5
93,1564395,4
50,1655178,4
116,573434,4
195,1141189,4
25,383247,5
107,1763921,5
125,1943970,5
11,322009,3
189,2333817,3
230,2095681,2
216,1149588,4
122,2354740,5
84,2421360,5
162,496087,2
139,2191781,1
110,1694083,4
81,818416,3
76,701960,5
158,2090477,4
221,1664010,5
145,2583822,5
94,369646,5
69,2234063,4
178,259799,4
231,1077982,4
216,2631796,4
200,1122383,3
11,1508526,3
248,1600207,5
117,1283117,5
71,1727869,5
242,1522799,4
235,1394012,5
17,1558286,3
209,1155602,3
55,361066,3
178,1743210,5
53,1148389,4
121,2268101,4
235,519684,5
171,767518,5
69,122197,1
93,2112162,4
224,1073367,3
37,400162,5
113,1524343,5
39,741245,4
62,2563768,3
123,1406595,4
40,1137010,4
148,60343,5
84,225765,4
213,2530404,3
208,437881,3
19,1935793,1
209,134001,4
153,2607300,3
74,1008986,4
203,94565,4
88,828410,4
194,1805202,4
238,1922925,4
54,1435717,5
111,2277395,4
48,2305014,5
32,166041,4
227,2413320,4
177,87113,2
154,722591,5
172,2291306,1
133,2010770,4
150,255383,5
37,1873429,4
148,1647618,4
61,608234,5
77,42930,3
72,1462072,5
88,685565,5
34,3321,3
117,2554942,4
